name,website,stage,focus_areas,location,check_size
A-Level Capital,https://www.alevelcapital.com,Pre-Seed Seed,"Consumer Enterprise",Los Angeles CA,$250K-$1M
Aberrant Capital,https://www.aberrantcapital.com,Seed Series A,"Fintech Crypto",Miami FL,$500K-$2M
Acacia Research Ventures,https://www.acaciaresearch.com,Growth,"IP Technology",Newport Beach CA,
Accelerate NY Seed Fund,https://www.accelerateny.com,Pre-Seed Seed,"Technology",New York NY,$100K-$500K
Accuity Brands Ventures,https://www.acuitybrands.com/ventures,Growth,"Industrial IoT",Atlanta GA,
Actera Group,https://www.acteragroup.com,Growth,"Enterprise Technology",Istanbul Turkey,
Activant Capital,https://www.activantcapital.com,Series A Series B,"Commerce B2B",New York NY,$5M-$25M
Adaptive Biotechnologies,https://investors.adaptivebiotech.com,Late Growth,"Biotech Life Sciences",Seattle WA,
Advantage Capital Holdings,https://www.advantagecap.com,Seed Series A,"Sector Agnostic",New Orleans LA,$250K-$2M
AeroCentury Ventures,https://www.aerocentury.com,Growth,"Aviation Logistics",Burlington CA,
Aglaé Ventures,https://aglaeve.com,Seed Series A,"Consumer Technology",Paris France,$1M-$5M
Ahren Innovation Capital,https://www.ahren.vc,Series A,"Deep Tech AI",London UK,$2M-$10M
Airy Ventures,https://www.airyventures.com,Pre-Seed Seed,"Sector Agnostic",Berlin Germany,$100K-$500K
Ajax Financial Investments,https://www.ajaxfin.com,Growth,"Fintech Financial Services",Greenwich CT,
Akira Tech,https://www.akiratech.vc,Seed,"Cybersecurity Enterprise",Tel Aviv Israel,$500K-$2M
Alan Howard Ventures,https://www.ah.vc,Series A Series B,"Fintech Crypto",London UK,$5M-$20M
Alcazar Capital,https://www.alcazarcap.com,Series A,"MENA Technology",Abu Dhabi UAE,$2M-$15M
Alderman Capital,https://www.aldermancapital.com,Seed Series A,"Fintech Consumer",New York NY,$500K-$3M
Aleo Technology Fund,https://www.aleo.org,Seed,"Privacy Technology Web3",San Francisco CA,$1M-$5M
Alethea Capital,https://www.alethea.capital,Seed Series A,"Web3 AI",San Francisco CA,$500K-$3M
Alex & Ani Ventures,https://www.alexandani.com/ventures,Seed,"Consumer Retail",New York NY,
Alidade Capital,https://www.alidade.vc,Seed Series A,"Defense Aerospace",Washington DC,$1M-$5M
Aligned Climate Capital,https://alignedclimatecapital.com,Series A Series B,"Climate Infrastructure",New York NY,$5M-$30M
Aliya Capital Partners,https://www.aliyacapital.com,Series A Series B,"Healthcare Life Sciences",Princeton NJ,$3M-$15M
AlleyCorp,https://www.alleycorp.com,Pre-Seed Seed,"Internet Consumer",New York NY,$500K-$2M
Alliance of Angels,https://www.allianceofangels.com,Pre-Seed Seed,"Technology",Seattle WA,$100K-$1M
AllRaise Ventures,https://www.allraise.org,Pre-Seed Seed,"Diversity Technology",San Francisco CA,$100K-$500K
Almanac Insights,https://almanacinsights.com,Seed Series A,"Enterprise AI SaaS",San Francisco CA,$500K-$3M
Altaris Capital Partners,https://www.altariscapital.com,Growth,"Healthcare",New York NY,
Altitude Life Science Ventures,https://altitudelifescience.com,Seed Series A,"Life Sciences Biotech",Salt Lake City UT,$1M-$5M
Altpoint Capital,https://www.altpointcapital.com,Series A Series B,"Technology",New York NY,$5M-$25M
Altus Capital Partners,https://www.altuscapitalpartners.com,Growth,"Manufacturing Industrial",Bloomfield Hills MI,
Alven,https://www.alven.co,Seed Series A,"Technology Consumer",Paris France,$1M-$5M
Alyssa Ravasio Angel Fund,https://www.alyssa.vc,Pre-Seed,"Outdoor Recreation Consumer",San Francisco CA,$25K-$250K
Amazon Industrial Innovation Fund,https://www.aboutamazon.com/iif,Series A Series B,"Industrial Robotics Logistics",Seattle WA,$10M-$50M
Amber Grant,https://ambergrant.net,Pre-Seed,"Women Founders",Los Angeles CA,$10K-$25K
Ambition Ventures,https://www.ambitionventures.com,Seed Series A,"SaaS Enterprise",Austin TX,$500K-$2M
Amble Studio,https://www.amblestudio.com,Pre-Seed Seed,"Games Consumer",Los Angeles CA,$250K-$1M
Ampere Ventures,https://www.ampere.vc,Seed Series A,"Climate Energy",Chicago IL,$500K-$3M
Ample Fund,https://www.amplefund.com,Seed,"EdTech Future of Work",New York NY,$250K-$1M
Amplify Capital,https://www.amplifycapital.com,Seed Series A,"B2B SaaS",Chicago IL,$500K-$3M
Analogica Capital,https://www.analogica.vc,Pre-Seed Seed,"Deep Tech Hardware",Boston MA,$250K-$1.5M
Anchor Capital Advisors,https://www.anchorcap.com,Growth,"Financial Services",Boston MA,
Andela Ventures,https://www.andela.com/ventures,Seed,"Africa Technology",New York NY,$500K-$2M
AndreessenHorowitz Bio Fund,https://a16z.com/bio,Seed Series A Series B,"Biotech Life Sciences",Menlo Park CA,
AngelList Venture,https://venture.angellist.com,Pre-Seed Seed,"Technology Sector Agnostic",San Francisco CA,$100K-$1M
Ankona Capital,https://www.ankonacapital.com,Series A,"Enterprise SaaS",Chicago IL,$2M-$10M
Annandale Capital,https://www.annandalevc.com,Pre-Seed Seed,"Climate Energy",Washington DC,$250K-$2M
Anthology Asia,https://www.anthologyasia.com,Seed Series A,"Southeast Asia Technology",Singapore,$1M-$5M
Anthracite Capital,https://www.anthracite.com,Growth,"Real Estate Finance",New York NY,
Antidote Partners,https://www.antidote.partners,Seed Series A,"Healthcare Mental Health",Boston MA,$500K-$3M
Anvo Capital,https://www.anvo.capital,Seed,"Nordic Technology",Stockholm Sweden,$500K-$2M
Aperture Venture Capital,https://aperturevo.com,Seed Series A,"Climate Energy",New York NY,$500K-$3M
Apex Capital,https://www.apexventures.com,Seed Series A,"Technology SaaS",Minneapolis MN,$500K-$3M
Apollo Ventures,https://apollo.vc,Seed,"Longevity Biotech",New York NY,$500K-$3M
Appian Ventures,https://www.appianventures.com,Seed Series A,"Government Technology",Washington DC,$1M-$5M
